zipcode,latitude,longitude,city,longitude,zcta,population,population_density,county_name,area_sq_miles
01009,42.21133,-72.34189,Bondsville,MA,TRUE,804,445.1,Hampden,0.697
01010,42.12904,-72.20597,Brimfield,MA,TRUE,3705,40.6,Hampden,35.227
01011,42.30233,-72.96448,Chester,MA,TRUE,1175,13.8,Hampden,32.795
01012,42.38495,-72.84675,Chesterfield,MA,TRUE,397,12.7,Hampshire,12.067
01013,42.16059,-72.60788,Chicopee,MA,TRUE,23284,1588.4,Hampden,5.66
01020,42.17618,-72.56538,Chicopee,MA,TRUE,30167,934.7,Hampden,12.461
01022,42.19721,-72.54249,Chicopee,MA,TRUE,1844,147.9,Hampden,4.814
01026,42.46858,-72.92296,Cummington,MA,TRUE,1014,14,Hampshire,28.052
01027,42.29506,-72.74303,Easthampton,MA,TRUE,17716,168.5,Hampshire,40.587
01028,42.05967,-72.49899,East Longmeadow,MA,TRUE,16321,487.7,Hampden,12.921
01029,42.19402,-73.05067,East Otis,MA,TRUE,539,20.9,Berkshire,9.97
01030,42.06869,-72.67967,Feeding Hills,MA,TRUE,12305,394.9,Hampden,12.029
01031,42.32782,-72.19191,Gilbertville,MA,TRUE,1676,96.1,Worcester,6.733
01032,42.45313,-72.81965,Goshen,MA,TRUE,509,20.4,Hampshire,9.649
01033,42.26082,-72.50361,Granby,MA,TRUE,6080,84.4,Hampshire,27.809
01034,42.0826,-72.95611,Granville,MA,TRUE,2332,13.3,Hampden,67.747
01035,42.35563,-72.5692,Hadley,MA,TRUE,5306,88.7,Hampshire,23.089
01036,42.0638,-72.4157,Hampden,MA,TRUE,4946,97.4,Hampden,19.611
01037,42.37063,-72.19466,Hardwick,MA,TRUE,572,11.9,Worcester,18.576
01038,42.38466,-72.60559,Hatfield,MA,TRUE,2491,104.3,Hampshire,9.223
01039,42.41049,-72.69188,Haydenville,MA,TRUE,1506,35.3,Hampshire,16.491
01040,42.21251,-72.64109,Holyoke,MA,TRUE,37813,689.8,Hampden,21.169
01050,42.29092,-72.87526,Huntington,MA,TRUE,2529,23.6,Hampshire,41.369
01053,42.35205,-72.71032,Leeds,MA,TRUE,2304,154.7,Hampshire,5.751
01054,42.47381,-72.48768,Leverett,MA,TRUE,1608,27.1,Franklin,22.931
01056,42.19211,-72.45805,Ludlow,MA,TRUE,20904,296.8,Hampden,27.196
01057,42.09118,-72.32392,Monson,MA,TRUE,8176,70.9,Hampden,44.543
01060,42.32218,-72.63126,Northampton,MA,TRUE,16492,585.9,Hampshire,10.867
01062,42.32146,-72.69244,Florence,MA,TRUE,9816,217.2,Hampshire,17.452
01066,42.40742,-72.64032,North Hatfield,MA,TRUE,115,35.2,Hampshire,1.262
01068,42.35125,-72.04776,Oakham,MA,TRUE,1639,29.1,Worcester,21.72
01069,42.18798,-72.30578,Palmer,MA,TRUE,8821,121.4,Hampden,28.058
01070,42.51958,-72.92504,Plainfield,MA,TRUE,575,11.2,Hampshire,19.84
01071,42.16029,-72.8598,Russell,MA,TRUE,1054,25.9,Hampden,15.698
01072,42.46327,-72.41893,Shutesbury,MA,TRUE,1521,30.8,Franklin,19.093
01073,42.23084,-72.73856,Southampton,MA,TRUE,6230,85.4,Hampshire,28.149
01074,42.3837,-72.10021,South Barre,MA,TRUE,368,547.9,Worcester,0.259
01075,42.25672,-72.57928,South Hadley,MA,TRUE,17754,386.8,Hampshire,17.722
01077,42.05441,-72.77851,Southwick,MA,TRUE,9217,115.3,Hampden,30.853
01079,42.18508,-72.33406,Thorndike,MA,TRUE,438,105.2,Hampden,1.607
01080,42.18228,-72.36515,Three Rivers,MA,TRUE,2454,569,Hampden,1.665
01081,42.06232,-72.23085,Wales,MA,TRUE,1747,46.6,Hampden,14.474
01082,42.29816,-72.27676,Ware,MA,TRUE,10392,85.4,Hampshire,47.008
01083,42.20652,-72.19906,Warren,MA,TRUE,2858,86.5,Worcester,12.757
01084,42.38589,-72.88165,West Chesterfield,MA,TRUE,97,4.5,Hampshire,8.331
01085,42.15375,-72.76961,Westfield,MA,TRUE,41102,265.7,Hampden,59.728
01089,42.12532,-72.65025,West Springfield,MA,TRUE,28772,664,Hampden,16.73
01092,42.20008,-72.23715,West Warren,MA,TRUE,1200,68.9,Worcester,6.721
01093,42.44335,-72.65099,Whately,MA,TRUE,225,20.1,Franklin,4.314
01094,42.36481,-72.13548,Wheelwright,MA,TRUE,52,27.9,Worcester,0.72
01095,42.12763,-72.42994,Wilbraham,MA,TRUE,14618,251,Hampden,22.489
01096,42.40968,-72.77213,Williamsburg,MA,TRUE,2580,27.8,Hampshire,35.883
01097,42.17722,-72.83175,Woronoco,MA,TRUE,143,31.7,Hampden,1.74
01098,42.39551,-72.94315,Worthington,MA,TRUE,979,11.9,Hampshire,31.886
01103,42.10443,-72.58997,Springfield,MA,TRUE,2477,2199.6,Hampden,0.435
01104,42.13326,-72.56733,Springfield,MA,TRUE,23209,1712.7,Hampden,5.232
01105,42.09911,-72.57865,Springfield,MA,TRUE,11843,3791.9,Hampden,1.206
01106,42.04877,-72.57163,Longmeadow,MA,TRUE,15853,638.6,Hampden,9.586
01107,42.12116,-72.60642,Springfield,MA,TRUE,12009,3006.3,Hampden,1.542
01108,42.0814,-72.55866,Springfield,MA,TRUE,27405,3074.9,Hampden,3.441
01109,42.11839,-72.54876,Springfield,MA,TRUE,31124,2208.5,Hampden,5.441
01118,42.09476,-72.5253,Springfield,MA,TRUE,14839,1593.4,Hampden,3.596
01119,42.12452,-72.51126,Springfield,MA,TRUE,13616,1489,Hampden,3.531
01128,42.09497,-72.48806,Springfield,MA,TRUE,2896,1008.3,Hampden,1.109
01129,42.1211,-72.4877,Springfield,MA,TRUE,5672,637.3,Hampden,3.436
